Invoice ID,Branch,Gender,Date,Time,Rating
381-20-0914,A,Female,01-12-2019,15:48,5.7
829-49-1914,C,Female,03-05-2019,16:24,6.6
756-01-7507,C,Female,1-22-2019,18:56,6
870-72-4431,C,Female,1-21-2019,14:42,5.5
847-38-7188,B,Female,1-26-2019,19:56,6.4
480-63-2856,C,Male,1-23-2019,18:37,6.6
787-56-0757,C,Female,2-23-2019,18:45,8.3
360-39-5055,C,Male,03-09-2019,10:17,6.6
730-50-9884,C,Female,03-05-2019,14:31,4
362-58-8315,C,Male,3-25-2019,10:23,9.9
633-44-8566,A,Male,3-27-2019,20:35,7.3
504-35-8843,A,Male,01-02-2019,16:57,5.7
318-68-5053,B,Female,2-27-2019,17:55,6.1
565-80-5980,C,Female,1-23-2019,10:25,7.1
225-32-0908,C,Female,1-26-2019,19:54,8.2
873-51-0671,A,Female,01-10-2019,16:42,5.1
152-08-9985,B,Male,03-12-2019,12:09,8.6
512-91-0811,C,Male,02-06-2019,20:05,6.6
594-34-4444,A,Male,03-08-2019,20:38,7.2
766-85-7061,B,Male,3-29-2019,10:25,5.1
871-39-9221,C,Female,02-09-2019,13:11,4.1
865-92-6136,A,Male,3-23-2019,10:16,9.3
733-01-9107,B,Male,03-05-2019,18:14,7.4
163-56-7055,C,Male,3-26-2019,19:20,4.1
189-98-2939,C,Male,03-01-2019,13:22,7.2
551-21-3069,C,Female,02-01-2019,11:27,4.9
212-62-1842,A,Male,3-28-2019,16:44,9.9
716-39-1409,B,Male,3-19-2019,18:19,8
704-48-3927,A,Male,01-12-2019,14:50,7.3
628-34-3388,C,Male,01-05-2019,20:54,7.9
630-74-5166,A,Male,3-22-2019,20:19,7.4
588-01-7461,C,Female,3-24-2019,10:43,4.2
861-77-0145,C,Male,03-03-2019,14:30,9.2
479-26-8945,B,Female,02-05-2019,11:32,4.6
210-67-5886,C,Female,02-05-2019,10:41,7.8
227-78-1148,B,Female,2-15-2019,12:44,8.4
645-44-1170,A,Male,1-19-2019,20:07,4.3
237-01-6122,C,Female,02-01-2019,20:31,9.5
225-98-1496,C,Female,03-02-2019,13:01,7.1
291-32-1427,B,Male,03-05-2019,12:29,5.3
659-65-8956,B,Male,1-16-2019,15:26,5.2
642-32-2990,A,Female,02-02-2019,20:48,6
378-24-2715,B,Male,1-20-2019,20:38,4.1
638-60-7125,A,Female,2-14-2019,17:03,5.2
659-36-1684,C,Male,01-12-2019,12:02,6.5
219-22-9386,B,Male,03-09-2019,17:26,4.2
336-78-2147,C,Male,3-13-2019,19:52,4.6
268-27-6179,B,Female,03-09-2019,14:57,7.3
668-90-8900,A,Female,03-10-2019,18:44,4.5
870-54-3162,A,Female,1-27-2019,13:26,9
189-08-9157,C,Female,01-08-2019,16:17,5.9
663-86-9076,C,Female,01-08-2019,15:57,8.5
549-84-7482,B,Female,02-08-2019,11:15,7.2
191-10-6171,B,Female,1-25-2019,13:18,7.5
802-70-5316,A,Female,03-06-2019,20:34,8.3
695-51-0018,B,Female,02-10-2019,18:36,7.4
590-83-4591,B,Male,2-17-2019,14:40,8.8
483-71-1164,C,Female,03-08-2019,16:43,5.3
597-78-7908,C,Male,2-18-2019,19:39,6.2
700-81-1757,A,Female,1-18-2019,20:59,8.8
354-39-5160,A,Female,2-18-2019,15:39,9.8
241-72-9525,B,Male,2-16-2019,12:21,8.2
575-30-8091,A,Male,3-16-2019,19:25,9.2
731-81-9469,C,Female,1-23-2019,13:00,5.4
280-17-4359,C,Male,1-25-2019,13:48,8.1
338-65-2210,C,Female,02-05-2019,19:57,9.1
488-25-4221,C,Female,2-22-2019,10:36,8.4
239-10-7476,A,Female,1-21-2019,16:37,8
458-41-1477,C,Female,03-08-2019,17:11,9.5
685-64-1609,A,Female,02-10-2019,12:28,9.2
568-90-5112,C,Male,3-19-2019,12:46,5.6
262-47-2794,B,Male,03-06-2019,15:07,6.2
238-49-0436,A,Male,3-27-2019,13:48,4.9
608-96-3517,B,Female,3-23-2019,19:20,4.8
584-86-7256,C,Male,03-11-2019,16:07,7.3
746-94-0204,A,Male,1-29-2019,11:56,7.4
214-17-6927,C,Female,02-07-2019,18:23,9.9
400-89-4171,C,Female,1-28-2019,13:05,9.3
782-95-9291,A,Male,2-20-2019,15:55,9
279-74-2924,B,Male,01-04-2019,19:40,6.1
307-85-2293,B,Male,03-07-2019,13:58,9.7
743-04-1105,B,Male,3-30-2019,14:43,6
423-57-2993,B,Male,3-27-2019,19:18,10
894-41-5205,C,Female,1-19-2019,19:39,8.3
275-28-0149,A,Male,2-25-2019,16:21,6
101-17-6199,A,Male,3-13-2019,19:44,7
423-80-0988,C,Male,1-30-2019,19:42,6.5
548-46-9322,B,Male,2-20-2019,15:24,5.9
505-02-0892,B,Male,2-25-2019,14:12,5.6
234-65-2137,C,Male,1-16-2019,13:32,4.8
687-47-8271,A,Male,02-08-2019,16:20,8.7
796-32-9050,A,Male,1-19-2019,16:31,6.5
105-31-1824,A,Male,02-01-2019,15:10,8.5
249-42-3782,A,Male,01-03-2019,11:36,5.5
316-55-4634,B,Male,1-26-2019,12:45,9.4
733-33-4967,C,Male,03-03-2019,19:17,6.3
608-27-6295,B,Male,1-19-2019,17:34,9.8
414-12-7047,B,Male,1-18-2019,12:04,8.7
827-26-2100,A,Male,3-21-2019,16:21,8.8
175-54-2529,A,Male,03-03-2019,17:01,9.6
139-52-2867,C,Female,2-13-2019,10:50,4.8
407-63-8975,A,Male,3-23-2019,19:16,4.4
342-65-4817,C,Male,1-28-2019,16:47,9.9
130-98-8941,C,Male,02-09-2019,10:00,5.7
434-83-9547,C,Male,1-23-2019,11:51,7.7
851-28-6367,A,Male,3-23-2019,10:55,8
824-88-3614,C,Male,1-25-2019,15:00,5.7
586-25-0848,A,Female,03-04-2019,11:19,6.7
895-66-0685,B,Male,03-05-2019,19:46,8
305-14-0245,B,Female,03-03-2019,19:00,7.5
732-04-5373,B,Male,02-08-2019,10:53,7
400-60-7251,A,Male,02-10-2019,12:50,9.9
593-65-1552,C,Female,1-28-2019,20:50,5.9
284-34-9626,B,Female,02-11-2019,10:39,7.2
437-58-8131,B,Female,1-15-2019,13:41,4.6
286-43-6208,C,Female,3-16-2019,19:08,9.2
641-43-2399,B,Male,1-26-2019,20:23,5.7
831-07-6050,A,Male,3-19-2019,11:30,9.9
556-86-3144,C,Female,1-13-2019,19:30,5
848-24-9445,C,Male,3-26-2019,18:03,4.9
856-22-8149,A,Female,3-23-2019,10:13,6.1
699-01-4164,C,Male,03-12-2019,19:58,8.2
420-11-4919,C,Female,2-17-2019,19:57,5.5
606-80-4905,C,Female,1-29-2019,10:01,6.8
542-41-0513,B,Female,3-15-2019,11:57,6.6
426-39-2418,C,Male,1-14-2019,10:02,9.8
875-46-5808,B,Male,02-06-2019,14:51,8.7
394-43-4238,B,Male,2-15-2019,12:42,5.4
749-24-1565,A,Female,01-03-2019,12:02,7.9
672-51-8681,C,Female,01-04-2019,18:19,9.7
263-87-5680,C,Female,3-18-2019,17:38,7.8
573-58-9734,B,Female,3-28-2019,13:41,5.1
817-69-8206,B,Female,03-02-2019,19:42,6.5
888-02-0338,A,Male,1-25-2019,20:24,5.9
677-11-0152,C,Female,1-16-2019,18:08,8.8
142-63-6033,B,Male,3-20-2019,19:17,4.9
656-16-1063,B,Male,01-04-2019,13:24,4.4
891-58-8335,B,Female,03-11-2019,15:53,6.5
802-43-8934,A,Male,3-22-2019,15:05,8.3
560-30-5617,B,Female,3-24-2019,18:27,8.5
319-74-2561,A,Female,2-21-2019,16:55,5.5
549-03-9315,B,Male,02-12-2019,12:58,8.7
790-29-1172,B,Female,03-10-2019,18:59,7.9
239-36-3640,B,Male,1-31-2019,13:44,6.1
468-01-2051,B,Male,03-06-2019,13:46,5.4
389-25-3394,C,Male,2-17-2019,18:06,9.4
279-62-1445,C,Female,2-21-2019,12:38,8.2
213-72-6612,A,Male,3-20-2019,15:56,6.2
746-68-6593,C,Female,01-11-2019,14:29,9.7
836-82-5858,B,Male,1-26-2019,19:14,4
583-72-1480,C,Male,1-31-2019,16:24,9.7
466-61-5506,B,Female,2-26-2019,10:52,5.3
721-86-6247,A,Female,03-11-2019,12:55,7.4
289-65-5721,B,Female,1-26-2019,19:28,6.5
545-46-3100,B,Female,03-12-2019,13:52,8.7
418-02-5978,B,Female,02-11-2019,10:54,8
269-04-5750,B,Male,2-21-2019,18:31,6.7
157-13-5295,A,Male,03-09-2019,18:24,6.5
645-78-8093,A,Female,1-20-2019,18:09,4.1
211-30-9270,C,Male,1-28-2019,15:16,4.9
755-12-3214,C,Female,03-05-2019,17:07,8.6
346-84-3103,B,Female,03-02-2019,19:26,4.3
478-06-7835,A,Male,01-11-2019,11:20,4.9
540-11-4336,A,Male,01-11-2019,16:49,5.6
448-81-5016,A,Male,03-11-2019,12:01,5.8
142-72-4741,C,Male,2-28-2019,18:37,6
217-58-1179,A,Male,01-05-2019,11:25,4.2
376-02-8238,B,Male,02-02-2019,18:42,8.3
530-90-9855,A,Male,01-01-2019,14:47,5.7
866-05-7563,B,Female,02-09-2019,19:43,4.8
604-70-6476,A,Male,1-23-2019,14:04,6.8
799-71-1548,A,Male,01-07-2019,16:11,8.8
785-13-7708,B,Male,1-14-2019,19:06,4.2
845-51-0542,B,Male,02-02-2019,15:34,6.4
662-47-5456,C,Male,3-17-2019,19:06,8.4
883-17-4236,C,Female,03-02-2019,19:44,7.2
290-68-2984,A,Male,3-16-2019,11:22,5.2
704-11-6354,A,Male,01-06-2019,11:23,8.9
110-48-7033,B,Male,1-29-2019,14:12,9
366-93-0948,A,Male,1-31-2019,10:46,9.7
729-09-9681,A,Male,02-05-2019,10:16,8.7
151-16-1484,A,Male,2-13-2019,12:38,6.5
380-94-4661,C,Male,02-07-2019,13:05,6.9
850-41-9669,A,Female,3-19-2019,13:25,6.2
821-07-3596,C,Female,03-07-2019,14:53,5.6
655-85-5130,B,Female,3-13-2019,19:22,5.7
447-15-7839,A,Female,02-09-2019,11:00,4.2
154-74-7179,B,Male,2-26-2019,19:24,7.9
253-12-6086,A,Female,03-12-2019,12:43,8.7
808-65-0703,C,Male,3-14-2019,17:22,6.9
571-94-0759,B,Female,01-08-2019,20:55,9.5
144-51-6085,A,Male,01-05-2019,16:05,4.4
731-14-2199,A,Female,01-04-2019,13:34,7
783-09-1637,B,Female,03-06-2019,18:13,6.3
687-15-1097,C,Female,01-03-2019,19:17,9.7
126-54-1082,A,Female,01-07-2019,11:44,8.8
633-91-1052,A,Female,1-27-2019,15:51,5.1
477-24-6490,B,Female,2-26-2019,16:52,7.9
566-19-5475,B,Male,01-07-2019,20:52,6.2
526-86-8552,C,Female,01-07-2019,17:36,7.1
376-56-3573,C,Female,02-02-2019,13:23,6.4
537-72-0426,C,Male,3-20-2019,16:28,5.7
828-61-5674,A,Male,3-20-2019,19:57,9.6
136-08-6195,A,Female,2-15-2019,17:01,6.4
523-38-0215,C,Male,03-06-2019,13:29,7.9
490-29-1201,A,Female,01-06-2019,11:09,6.5
667-92-0055,A,Male,03-04-2019,15:02,8.5
565-17-3836,A,Female,03-12-2019,14:21,9.1
498-41-1961,B,Male,2-20-2019,18:01,7.6
593-95-4461,C,Male,3-24-2019,14:49,6.9
226-71-3580,C,Female,1-31-2019,12:02,9.5
283-79-9594,B,Female,1-25-2019,13:30,5.2
430-60-3493,A,Female,02-03-2019,14:38,4.2
139-20-0155,B,Male,1-24-2019,17:37,7
558-80-4082,C,Male,3-14-2019,17:20,6
278-97-7759,A,Female,2-18-2019,20:29,4.7
316-68-6352,A,Female,1-21-2019,10:00,7.1
585-03-5943,B,Male,3-13-2019,11:46,5.9
211-05-0490,C,Female,03-03-2019,13:42,7.5
727-75-6477,C,Male,3-29-2019,14:44,6.4
744-02-5987,A,Male,01-10-2019,14:16,5.8
307-83-9164,A,Male,1-25-2019,15:54,4.5
779-06-0012,C,Female,1-19-2019,10:21,7.7
446-47-6729,C,Male,01-02-2019,18:09,6.7
573-10-3877,B,Male,03-12-2019,16:46,4.7
735-06-4124,C,Male,2-25-2019,15:31,4.4
439-54-7422,A,Female,3-18-2019,17:15,4.7
396-90-2219,B,Female,2-23-2019,12:29,8.6
411-77-0180,A,Male,3-26-2019,20:14,4.3
286-01-5402,A,Female,3-30-2019,13:22,9.6
803-17-8013,A,Female,2-17-2019,17:09,4.1
512-98-1403,A,Female,3-21-2019,10:40,4.7
848-42-2560,A,Female,03-05-2019,17:43,7.8
532-59-7201,B,Male,1-31-2019,14:04,5.5
181-94-6432,C,Male,02-05-2019,19:05,9.7
870-76-1733,A,Female,02-01-2019,10:08,4.4
423-64-4619,A,Female,03-07-2019,13:12,5
227-07-4446,C,Female,02-10-2019,20:51,4.4
174-36-3675,C,Male,2-14-2019,17:29,5.2
428-83-5800,C,Female,02-09-2019,10:25,7.3
603-07-0961,C,Male,01-10-2019,11:34,4.9
704-20-4138,C,Female,03-11-2019,18:58,8.1
787-15-1757,C,Male,2-18-2019,16:28,8.4
649-11-3678,C,Female,2-26-2019,20:26,5.5
622-20-1945,C,Female,1-18-2019,15:08,8.4
372-94-8041,A,Male,2-15-2019,18:03,9.8
563-91-7120,A,Female,03-08-2019,13:21,6.7
746-54-5508,A,Male,1-17-2019,12:48,9.4
276-54-0879,B,Male,03-12-2019,19:53,6.4
815-11-1168,A,Male,03-09-2019,19:09,5.4
719-76-3868,C,Male,03-12-2019,16:30,8.6
730-61-8757,B,Male,1-25-2019,10:11,4
340-66-0321,A,Male,3-25-2019,13:07,7.6
868-81-1752,B,Male,02-07-2019,18:48,6.8
634-97-8956,A,Male,2-17-2019,17:27,9.1
566-71-1091,A,Male,02-03-2019,15:59,5.5
442-48-3607,A,Male,3-14-2019,11:21,7.9
835-16-0096,C,Male,3-24-2019,13:48,8.5
527-09-6272,A,Female,3-21-2019,10:17,9.1
898-04-2717,A,Male,3-19-2019,15:49,7.5
692-27-8933,B,Female,2-24-2019,13:02,5.2
633-09-3463,C,Female,3-28-2019,12:58,9.5
374-17-3652,B,Female,02-05-2019,15:26,8.9
378-07-7001,B,Male,02-10-2019,18:23,7.8
433-75-6987,B,Female,03-05-2019,19:06,8.9
873-95-4984,B,Female,2-15-2019,20:21,7.7
416-13-5917,C,Female,1-30-2019,16:24,9.3
150-89-8043,A,Male,2-14-2019,15:04,6.2
135-84-8019,A,Female,2-27-2019,16:10,7.6
441-94-7118,A,Male,02-04-2019,12:14,7.3
725-96-3778,C,Female,1-20-2019,10:13,4.7
531-80-1784,A,Male,3-28-2019,17:38,5.1
400-45-1220,B,Female,2-27-2019,11:06,4.8
860-79-0874,C,Female,2-15-2019,14:53,6.6
834-61-8124,A,Male,1-26-2019,18:22,5.5
115-99-4379,B,Female,3-14-2019,19:02,8.5
565-67-6697,B,Male,03-02-2019,14:16,4.8
320-49-6392,C,Female,03-04-2019,15:44,8.4
889-04-9723,B,Female,01-07-2019,12:20,7.8
632-90-0281,C,Female,03-08-2019,20:01,9.3
554-42-2417,C,Female,01-09-2019,13:45,5.2
453-63-6187,B,Male,03-01-2019,15:40,6.5
578-80-7669,B,Male,3-16-2019,16:58,5.6
612-36-5536,A,Male,2-17-2019,11:12,7.4
605-72-4132,C,Female,2-27-2019,15:12,9.1
471-41-2823,C,Male,03-07-2019,20:37,8
462-67-9126,A,Male,1-21-2019,17:44,7.2
272-27-9238,C,Female,2-19-2019,16:23,7.1
834-25-9262,C,Female,01-06-2019,12:12,9.1
122-61-9553,C,Female,3-14-2019,19:33,5.6
468-88-0009,A,Male,3-24-2019,10:29,6
613-59-9758,C,Female,1-27-2019,14:28,5.4
254-31-0042,A,Male,03-06-2019,12:46,7.8
201-86-2184,B,Female,02-02-2019,19:40,9.9
261-12-8671,B,Female,1-25-2019,19:39,4.9
730-70-9830,C,Female,3-14-2019,17:54,5.2
382-25-8917,C,Male,1-29-2019,12:25,8.9
422-29-8786,A,Female,01-03-2019,16:47,9.1
667-23-5919,A,Female,1-14-2019,12:52,7
843-01-4703,B,Female,01-05-2019,19:50,9.6
743-88-1662,C,Male,2-22-2019,18:17,8.7
595-86-2894,C,Male,02-06-2019,17:20,9.4
182-69-8360,B,Female,1-30-2019,13:32,4
289-15-7034,A,Male,01-11-2019,10:37,7.5
462-78-5240,C,Female,3-19-2019,14:35,4.2
868-52-7573,B,Female,1-14-2019,12:09,9.9
153-58-4872,C,Female,03-01-2019,15:32,4.2
662-72-2873,A,Female,01-06-2019,13:58,9.9
525-88-7307,B,Male,1-31-2019,13:19,5.8
689-16-9784,C,Male,03-11-2019,13:37,6
725-56-0833,A,Female,2-20-2019,16:49,10
394-41-0748,C,Female,1-27-2019,14:55,9.5
596-42-3999,B,Male,03-10-2019,14:04,6.6
541-89-9860,C,Female,2-15-2019,12:31,8.1
173-82-9529,B,Female,1-26-2019,14:51,9.7
563-36-9814,A,Male,2-13-2019,18:27,7.2
308-47-4913,A,Female,03-09-2019,12:45,6.2
885-17-6250,A,Female,03-06-2019,10:36,7.3
726-27-2396,A,Female,1-24-2019,20:36,4.3
316-01-3952,A,Female,3-13-2019,14:16,4.6
760-54-1821,B,Male,3-15-2019,10:26,5.8
793-10-3222,B,Female,03-05-2019,13:30,8.3
346-12-3257,B,Male,03-04-2019,16:28,8
110-05-6330,C,Female,3-25-2019,20:18,9.4
651-61-0874,C,Male,03-12-2019,20:04,6.2
236-86-3015,C,Male,02-04-2019,13:38,9.8
831-64-0259,B,Female,2-22-2019,10:43,9.6
587-03-7455,C,Female,2-16-2019,17:30,4.9
882-40-4577,A,Male,1-19-2019,15:28,8
732-67-5346,A,Male,01-11-2019,19:07,7.8
725-32-9708,B,Female,01-04-2019,19:01,4.1
256-08-8343,A,Female,03-04-2019,19:48,5.5
372-26-1506,C,Female,1-28-2019,19:24,5.4
244-08-0162,B,Female,01-02-2019,13:00,5.1
569-71-4390,B,Male,1-25-2019,14:29,6.9
132-23-6451,A,Male,01-04-2019,13:21,7.8
696-90-2548,A,Male,03-10-2019,18:55,6.6
472-15-9636,A,Male,3-22-2019,19:36,9.2
268-03-6164,B,Male,1-25-2019,16:28,7.8
750-57-9686,C,Female,01-08-2019,13:48,8.7
186-09-3669,C,Female,1-22-2019,10:57,9.2
848-07-1692,B,Female,01-12-2019,17:13,8.3
745-71-3520,A,Female,02-04-2019,10:23,8.2
266-76-6436,C,Female,3-28-2019,13:57,7.5
740-22-2500,C,Female,1-23-2019,13:29,9.8
271-88-8734,C,Female,02-08-2019,13:00,8.7
301-81-8610,B,Male,3-19-2019,19:42,6.7
489-64-4354,C,Male,03-09-2019,15:36,5
198-84-7132,B,Male,01-02-2019,13:40,7
269-10-8440,A,Male,1-21-2019,18:01,8.9
650-98-6268,B,Female,3-20-2019,13:53,8
741-73-3559,B,Male,2-27-2019,17:27,6.9
325-77-6186,A,Female,03-08-2019,10:53,7.3
286-75-7818,B,Male,1-31-2019,19:48,6.9
574-57-9721,C,Male,03-08-2019,16:53,5.7
459-50-7686,A,Female,1-13-2019,19:14,6.4
616-87-0016,B,Male,03-09-2019,14:36,9.6
837-55-7229,B,Female,2-22-2019,18:19,6.8
751-69-0068,C,Male,3-19-2019,19:09,9
257-73-1380,C,Male,1-20-2019,16:51,9.6
345-08-4992,A,Male,03-08-2019,15:37,7.7
549-96-4200,C,Male,03-08-2019,20:15,7
810-60-6344,C,Female,02-07-2019,14:38,6.5
450-28-2866,C,Male,1-15-2019,19:25,8.1
394-30-3170,B,Female,3-22-2019,19:35,4.3
138-17-5109,A,Female,1-15-2019,15:42,6.5
192-98-7397,C,Male,01-08-2019,14:11,9.5
301-11-9629,A,Female,1-15-2019,10:43,9.7
390-80-5128,B,Female,1-28-2019,17:58,9.5
235-46-8343,C,Male,2-14-2019,11:26,8.9
453-12-7053,C,Male,03-10-2019,17:38,6.5
296-11-7041,B,Female,01-12-2019,20:07,5.3
449-27-2918,B,Female,3-26-2019,11:02,9.6
891-01-7034,B,Female,01-01-2019,19:07,6.7
744-09-5786,B,Male,01-02-2019,18:50,7.6
727-17-0390,A,Female,3-16-2019,12:43,4.8
568-88-3448,A,Male,03-03-2019,15:09,5.5
187-83-5490,A,Male,1-31-2019,13:47,4.7
767-54-1907,B,Female,2-13-2019,16:59,6.9
710-46-4433,B,Female,2-15-2019,14:15,4.5
533-33-5337,B,Male,02-07-2019,20:24,6.2
325-90-8763,C,Female,1-27-2019,13:58,7.6
729-46-7422,C,Male,2-23-2019,16:52,7.9
639-76-1242,C,Male,02-03-2019,15:19,4.5
234-03-4040,B,Female,03-03-2019,12:25,8.7
326-71-2155,C,Female,02-03-2019,10:02,6.1
320-32-8842,C,Female,3-17-2019,18:58,6.4
470-32-9057,A,Male,3-28-2019,15:31,9.1
878-30-2331,C,Female,03-02-2019,11:22,7.1
440-59-5691,C,Female,02-08-2019,13:12,7.7
554-53-3790,B,Male,3-22-2019,18:33,4.5
746-19-0921,C,Male,02-09-2019,10:02,7.2
233-34-0817,C,Female,2-15-2019,11:21,8.4
767-05-1286,C,Female,1-23-2019,12:10,5.4
340-21-9136,A,Female,1-25-2019,11:40,9.7
405-31-3305,A,Male,02-02-2019,18:31,5.5
731-59-7531,B,Male,3-30-2019,17:58,4.6
676-39-6028,A,Female,3-30-2019,17:04,6.6
502-05-1910,A,Male,2-25-2019,20:35,6.3
485-30-8700,A,Female,3-18-2019,16:10,4.2
598-47-9715,C,Male,03-07-2019,16:54,4.4
701-69-8742,B,Male,3-16-2019,10:11,6.7
575-67-1508,A,Male,1-29-2019,11:26,6.7
541-08-3113,C,Male,02-02-2019,20:29,8.4
246-11-3901,C,Female,2-15-2019,12:12,6.2
674-15-9296,A,Male,01-08-2019,13:05,5
305-18-3552,B,Male,02-12-2019,16:19,6
493-65-6248,C,Female,01-01-2019,19:48,7
438-01-4015,B,Female,3-21-2019,15:25,6.6
709-58-4068,B,Female,2-28-2019,14:42,7.3
795-49-7276,A,Male,3-23-2019,18:59,8.3
556-72-8512,C,Male,1-30-2019,20:47,4.3
627-95-3243,B,Female,02-04-2019,13:21,9.8
686-41-0932,B,Female,3-13-2019,19:48,8.2
510-09-5628,A,Female,3-15-2019,18:20,7.2
608-04-3797,B,Female,03-05-2019,20:24,8.7
148-82-2527,C,Female,03-05-2019,13:44,8.4
437-53-3084,B,Male,2-26-2019,11:48,7.1
632-32-4574,B,Male,3-20-2019,14:14,5.5
556-97-7101,C,Female,01-01-2019,15:51,8.5
862-59-8517,C,Female,1-27-2019,11:17,6.2
401-18-8016,B,Female,1-21-2019,17:36,8.9
420-18-8989,A,Female,02-02-2019,15:47,9.6
277-63-2961,B,Male,02-03-2019,15:53,5.4
573-98-8548,C,Female,01-05-2019,12:40,9.1
620-02-2046,C,Male,1-27-2019,19:48,9
282-35-2475,B,Female,3-25-2019,17:53,6.3
511-54-3087,B,Male,2-25-2019,16:36,9.5
726-29-6793,A,Male,1-28-2019,20:54,9.8
387-49-4215,B,Female,01-08-2019,12:50,6.7
862-17-9201,B,Female,1-29-2019,10:48,7.7
291-21-5991,B,Male,3-29-2019,14:28,7
602-80-9671,C,Female,02-09-2019,17:15,5.1
347-72-6115,B,Female,1-16-2019,18:03,6.2
209-61-0206,A,Female,01-05-2019,17:29,6.1
595-27-4851,A,Female,1-27-2019,18:05,9.3
189-52-0236,A,Male,3-14-2019,12:07,7.6
503-07-0930,C,Male,2-23-2019,19:49,8.2
413-20-6708,C,Female,3-18-2019,15:52,8.5
425-85-2085,B,Male,3-29-2019,16:48,9.8
521-18-7827,C,Male,1-22-2019,20:46,8.7
220-28-1851,A,Male,03-01-2019,18:14,9.7
600-38-9738,C,Male,1-17-2019,15:05,4.3
